time,throughput
0.06858354921,14930.694194092
0.08858354921,307200.0
0.10858354921,256000.0
0.14858354921,460800.0
0.16858354921,716800.0
0.18858354921,768000.0
0.20858354921,716800.0
0.22858354921,768000.0
0.24858354921,716800.0
0.26858354921,768000.0
0.32858354921,716800.0
0.34858354921,768000.0
0.36858354921,716800.0
0.38858354921,768000.0
0.44858354921,819200.0
0.48858354921,870400.0
0.54858354921,819200.0
0.60858354921,870400.0
0.66858354921,819200.0
0.72858354921,870400.0
0.78858354921,819200.0
0.84858354921,870400.0
0.90858354921,819200.0
0.96858354921,870400.0
1.02858354921,819200.0
1.08858354921,870400.0
1.14858354921,819200.0
1.20858354921,870400.0
1.26858354921,819200.0
1.32858354921,870400.0
1.36858354921,819200.0
1.38858354921,870400.0
1.40858354921,819200.0
1.44858354921,870400.0
1.48858354921,819200.0
1.50858354921,870400.0
1.54858354921,921600.0
1.56858354921,972800.0
1.60858354921,921600.0
1.68858354921,972800.0
1.72858354921,921600.0
1.80858354921,972800.0
1.84858354921,921600.0
1.92858354921,972800.0
1.94858354921,921600.0
1.96858354921,972800.0
1.98858354921,921600.0
2.04858354921,972800.0
2.06858354921,921600.0
2.10858354921,972800.0
2.12858354921,921600.0
2.16858354921,972800.0
2.18858354921,921600.0
2.24858354921,972800.0
2.26858354921,921600.0
2.28858354921,972800.0
2.30858354921,921600.0
2.36858354921,972800.0
2.38858354921,921600.0
2.40858354921,972800.0
2.42858354921,921600.0
2.50858354921,972800.0
2.54858354921,921600.0
2.62858354921,1075200.0
2.64858354921,1024000.0
2.74858354921,1075200.0
2.76858354921,1024000.0
2.86858354921,1075200.0
2.88858354921,1024000.0
2.98858354921,1075200.0
3.00858354921,1024000.0
3.10858354921,1075200.0
3.12858354921,1024000.0
3.22858354921,1075200.0
3.24858354921,1024000.0
3.34858354921,1075200.0
3.36858354921,1024000.0
3.46858354921,1075200.0
3.48858354921,1024000.0
3.58858354921,1075200.0
3.60858354921,1024000.0
3.70858354921,1075200.0
3.72858354921,1126400.0
4.20858354921,1177600.0
4.34858354921,1228800.0
4.36858354921,1177600.0
4.54858354921,870400.0
4.56858354921,716800.0
4.58858354921,1126400.0
4.78858354921,1177600.0
4.94858354921,1228800.0
4.96858354921,1177600.0
5.18858354921,1228800.0
5.20858354921,1177600.0
5.42858354921,563200.0
5.44858354921,1024000.0
5.52858354921,1075200.0
5.54858354921,1024000.0
5.64858354921,1075200.0
5.66858354921,1024000.0
5.72858354921,1126400.0
5.98858354921,1075200.0
6.00858354921,1177600.0
6.02858354921,1126400.0
6.10858354921,1075200.0
6.12858354921,1177600.0
6.14858354921,1126400.0
6.20858354921,1075200.0
6.22858354921,1126400.0
6.24858354921,1177600.0
6.26858354921,1126400.0
6.32858354921,1075200.0
6.34858354921,1126400.0
6.36858354921,1177600.0
6.38858354921,1126400.0
6.42858354921,1075200.0
6.44858354921,1126400.0
6.48858354921,1177600.0
6.50858354921,1126400.0
6.54858354921,1075200.0
6.56858354921,1126400.0
6.60858354921,1177600.0
6.62858354921,1126400.0
6.64858354921,1075200.0
6.66858354921,1126400.0
6.72858354921,1177600.0
6.74858354921,1075200.0
6.76858354921,1126400.0
6.80858354921,1177600.0
6.98858354921,1228800.0
7.00858354921,1177600.0
7.22858354921,1228800.0
7.24858354921,1177600.0
7.46858354921,1228800.0
7.48858354921,1177600.0
7.70858354921,1228800.0
7.72858354921,1177600.0
7.94858354921,1228800.0
7.96858354921,1177600.0
8.18858354921,1228800.0
8.20858354921,1177600.0
8.42858354921,1228800.0
8.44858354921,1177600.0
8.66858354921,1228800.0
8.68858354921,1177600.0
8.88858354921,1228800.0
8.90858354921,1177600.0
9.12858354921,1228800.0
9.14858354921,819200.0
9.16858354921,716800.0
9.18858354921,1126400.0
9.38858354921,1177600.0
9.50858354921,1228800.0
9.52858354921,1177600.0
9.74858354921,1228800.0
9.76858354921,1177600.0
9.98858354921,1228800.0
10.00858354921,1177600.0
10.02858354921,460800.0
10.04858354921,1075200.0
10.06858354921,1024000.0
10.14858354921,1075200.0
10.16858354921,1024000.0
10.26858354921,1075200.0
10.28858354921,1024000.0
10.32858354921,1126400.0
10.94858354921,1075200.0
10.96858354921,1177600.0
10.98858354921,1126400.0
11.06858354921,1075200.0
11.08858354921,1177600.0
11.10858354921,1126400.0
11.16858354921,1075200.0
11.18858354921,1126400.0
11.20858354921,1177600.0
11.22858354921,1126400.0
11.28858354921,1075200.0
11.30858354921,1126400.0
11.32858354921,1177600.0
11.34858354921,1126400.0
11.38858354921,1075200.0
11.40858354921,1177600.0
11.54858354921,1228800.0
11.56858354921,1177600.0
11.78858354921,1228800.0
11.80858354921,1177600.0
12.02858354921,1228800.0
12.04858354921,1177600.0
12.26858354921,1228800.0
12.28858354921,1177600.0
12.50858354921,1228800.0
12.52858354921,1177600.0
12.72858354921,1228800.0
12.74858354921,1177600.0
12.96858354921,1228800.0
12.98858354921,1177600.0
13.20858354921,1228800.0
13.22858354921,1177600.0
13.44858354921,1228800.0
13.46858354921,1177600.0
13.68858354921,1228800.0
13.70858354921,1177600.0
13.74858354921,768000.0
13.78858354921,1126400.0
13.98858354921,1177600.0
14.04858354921,1228800.0
14.06858354921,1177600.0
14.28858354921,1228800.0
14.30858354921,1177600.0
14.52858354921,1228800.0
14.54858354921,1177600.0
14.62858354921,460800.0
14.64858354921,1075200.0
14.66858354921,1024000.0
14.74858354921,1075200.0
14.76858354921,1024000.0
14.86858354921,1075200.0
14.88858354921,1024000.0
14.92858354921,1126400.0
15.92858354921,1075200.0
15.94858354921,1177600.0
15.96858354921,1126400.0
16.02858354921,1177600.0
16.08858354921,1228800.0
16.10858354921,1177600.0
16.32858354921,1228800.0
16.34858354921,1177600.0
16.56858354921,1228800.0
16.58858354921,1177600.0
16.80858354921,1228800.0
16.82858354921,1177600.0
17.04858354921,1228800.0
17.06858354921,1177600.0
17.28858354921,1228800.0
17.30858354921,1177600.0
17.50858354921,1228800.0
17.52858354921,1177600.0
17.74858354921,1228800.0
17.76858354921,1177600.0
17.98858354921,1228800.0
18.00858354921,1177600.0
18.22858354921,1228800.0
18.24858354921,1177600.0
18.34858354921,716800.0
18.36858354921,819200.0
18.38858354921,1126400.0
18.40858354921,1177600.0
18.42858354921,1126400.0
18.44858354921,1075200.0
18.46858354921,1126400.0
