time,incomingDataRate
0.1,1386240.0
0.2,6628160.0
0.3,6369920.0
0.4,6283840.0
0.5,6972480.0
0.6,7144640.0
0.7,7058560.0
0.8,7058560.0
0.9,7058560.0
1.0,7144640.0
1.1,7144640.0
1.2,7144640.0
1.3,7058560.0
1.4,7058560.0
1.5,7058560.0
1.6,7833280.0
1.7,7919360.0
1.8,7919360.0
1.9,7919360.0
2.0,7833280.0
2.1,7833280.0
2.2,7919360.0
2.3,7919360.0
2.4,7833280.0
2.5,7919360.0
2.6,7919360.0
2.700829572274,8622549.7182257
2.800070367854,8673852.2698167
2.899311199357,8673849.1300728
2.998450302148,8682749.5485277
3.09758942098,8682748.1436334
3.196678385428,8687142.9608262
3.295767349876,8687142.9608262
3.394856314324,8687142.9608262
3.493945278772,8687142.9608262
3.59303424322,8687142.9608262
3.692411499803,8661941.6715439
3.784230817732,9374933.5043593
3.875055518292,9477597.9958375
3.965830064468,9482834.5198336
4.057071274532,9434333.448627
4.147895975092,9477597.9958375
4.236086429908,9760693.5103801
4.322726429908,9935364.7276085
4.409366429908,9935364.7276085
4.496006429908,9935364.7276085
4.585063284724,9665735.4650408
4.675962196441,9469860.3508034
4.76677484719,9478855.5658307
4.85341484719,9935364.7276085
4.94005484719,9935364.7276085
5.02669484719,9935364.7276085
5.11333484719,9935364.7276085
5.19997484719,9935364.7276085
5.28661484719,9935364.7276085
5.37325484719,9935364.7276085
5.464216957463,9463280.891533
5.563317316871,8686144.0780053
5.662421588273,8685801.2053619
5.75697939535,9103426.0058404
5.847753941526,9482834.5198336
5.938528487702,9482834.5198336
6.02981985215,9429150.3386426
6.120594398326,9482834.5198336
6.211368944502,9482834.5198336
6.30266030895,9429150.3386426
6.393434855126,9482834.5198336
6.484209401302,9482834.5198336
6.57550076575,9429150.3386426
6.666275311926,9482834.5198336
6.757049858102,9482834.5198336
6.84575713119,9703826.6427834
6.93239713119,9935364.7276085
7.01903713119,9935364.7276085
7.10567713119,9935364.7276085
7.19231713119,9935364.7276085
7.27895713119,9935364.7276085
7.36559713119,9935364.7276085
7.45223713119,9935364.7276085
7.53887713119,9935364.7276085
7.62551713119,9935364.7276085
7.71215713119,9935364.7276085
7.79879713119,9935364.7276085
7.88543713119,9935364.7276085
7.97207713119,9935364.7276085
8.05871713119,9935364.7276085
8.14535713119,9935364.7276085
8.23199713119,9935364.7276085
8.31863713119,9935364.7276085
8.40527713119,9935364.7276085
8.49191713119,9935364.7276085
8.57855713119,9935364.7276085
8.66519713119,9935364.7276085
8.75183713119,9935364.7276085
8.83847713119,9935364.7276085
8.92511713119,9935364.7276085
9.01175713119,9935364.7276085
9.09839713119,9935364.7276085
9.187581293799,9651937.9093563
9.278422902253,9475833.9779495
