time,queueBitLength
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.043529947602,0.0
0.053630749682,0.0
0.054497149682,0.0
0.065410767954,0.0
0.066277167954,0.0
0.076324386226,0.0
0.077190786226,0.0
0.078057186226,0.0
0.078923586226,0.0
0.087238004498,0.0
0.088104404498,0.0
0.088970804498,0.0
0.089837204498,0.0
0.090703604498,0.0
0.091570004498,0.0
0.09815162277,0.0
0.09901802277,0.0
0.09988442277,0.0
0.10075082277,0.0
0.10161722277,0.0
0.10248362277,0.0
0.10335002277,0.0
0.10421642277,0.0
0.109078041298,0.0
0.109944441298,0.0
0.110810841298,0.0
0.111677241298,0.0
0.112543641298,0.0
0.113410041298,0.0
0.114276441298,0.0
0.115142841298,0.0
0.116009241298,0.0
0.120010859954,0.0
0.120877259954,0.0
0.121743659954,0.0
0.122610059954,0.0
0.123476459954,0.0
0.124342859954,0.0
0.125209259954,0.0
0.126075659954,0.0
0.126942059954,0.0
0.127808459954,0.0
0.128674859954,0.0
0.13094367861,0.0
0.13181007861,0.0
0.13267647861,0.0
0.13354287861,0.0
0.136122878226,0.0
0.137024209107,0.0
0.137948290295,0.0
0.138814690295,0.0
0.139681090295,0.0
0.140547490295,0.0
0.14186369701,0.0
0.142805571669,0.0
0.143747446328,0.0
0.144689320987,0.0
0.147042896626,0.0
0.147984771285,0.0
0.148926645944,0.0
0.149868520603,0.0
0.153719189941,0.0
0.155061216212,0.0
0.156399179675,0.0
0.157956514898,0.0
0.159121400577,0.0
0.160283904713,0.0
0.161431304166,0.0
0.16256548702,0.0
0.164632808213,0.0
0.165974834484,0.0
0.167312797947,0.0
0.16887013317,0.0
0.170035018849,0.0
0.171197522985,0.0
0.172344922438,0.0
0.173486180676,0.0
0.175546426485,0.0
0.176888452756,0.0
0.178226416219,0.0
0.179783751442,0.0
0.180948637121,0.0
0.182111141257,0.0
0.18325854071,0.0
0.184399798948,0.0
0.186460044757,0.0
0.187802071028,0.0
0.189140034491,0.0
0.190697369714,0.0
0.191862255393,0.0
0.193024759529,0.0
0.194172158982,0.0
0.19531341722,0.0
0.197373663029,0.0
0.1987156893,0.0
0.200053652763,0.0
0.201610987986,0.0
0.202775873665,0.0
0.203938377801,0.0
0.205085777254,0.0
0.206227035492,0.0
0.208287281301,0.0
0.209629307572,0.0
0.210967271035,0.0
0.212524606258,0.0
0.213689491937,0.0
