time,srtt
0.05954435929,0.001375
0.070457977562,0.002578125
0.071324377562,0.003755859375
0.081371595834,0.004661376953
0.082237995834,0.005578704834
0.083104395834,0.00638136673
0.083970795834,0.007083695889
0.092285214106,0.007573233903
0.093151614106,0.008126579665
0.094018014106,0.008610757207
0.094884414106,0.009034412556
0.095750814106,0.009405110987
0.109282832762,0.009854472114
0.11587725129,0.0099976631
0.125077269946,0.010122955213
0.126803669818,0.010232585811
0.128523669562,0.010453512585
0.129390069562,0.010646823512
0.130256469562,0.010815970573
0.131122869562,0.011088974251
0.131989269562,0.01120285247
0.132855669562,0.011302495911
0.144728299903,0.011264683922
0.145594699903,0.011356598432
0.146910906618,0.011312023628
0.147852781277,0.011273020675
0.148794655936,0.011238893091
0.149736530595,0.011209031455
0.152090106234,0.011182902523
0.153031980893,0.011160039708
0.153973855552,0.011015034745
0.154915730211,0.010888155402
0.158766399549,0.010902135977
0.16010842582,0.01091436898
0.161446389283,0.010925072858
0.163003724506,0.010934438751
0.164168610185,0.010942633907
0.165331114321,0.010949804669
0.166478513774,0.010956079085
0.167612696628,0.010961569199
0.169680017821,0.010966373049
0.171022044092,0.010970576418
0.172360007555,0.010974254366
0.173917342778,0.01085247257
0.175082228457,0.010870913499
0.176244732593,0.010887049312
0.177392132046,0.010901168148
0.178533390284,0.01091352213
0.180593636093,0.010924331864
0.181935662364,0.010808790381
0.183273625827,0.010832691583
0.18483096105,0.010853605135
0.185995846729,0.010746904493
0.187158350865,0.010778541431
0.188305750318,0.010806223752
0.189447008556,0.010830445783
0.191507254365,0.01085164006
0.192849280636,0.010870185053
0.194187244099,0.010886411921
0.195744579322,0.010900610431
0.196909465001,0.010913034127
0.198071969137,0.010923904861
0.19921936859,0.010933416753
0.200360626828,0.010941739659
0.202420872637,0.010949022202
0.203762898908,0.010955394427
0.205100862371,0.010960970124
0.206658197594,0.010965848859
0.207823083273,0.010970117752
0.208985587409,0.010848853033
0.210132986862,0.010867746404
0.2112742451,0.010884278104
0.213334490909,0.010898743341
0.21467651718,0.010911400423
0.216014480643,0.01092247537
0.217571815866,0.010932165949
0.218736701545,0.010940645205
0.219899205681,0.010948064554
0.221046605134,0.010954556485
0.222187863372,0.010960236924
0.224248109181,0.010965207309
0.225590135452,0.010969556395
0.226928098915,0.010848361846
0.228485434138,0.010867316615
0.229650319817,0.010883902038
0.230812823953,0.010898414283
