time,cwnd
0.05954435929,2048.0
0.070457977562,3072.0
0.071324377562,4096.0
0.081371595834,5120.0
0.082237995834,6144.0
0.083104395834,7168.0
0.083970795834,8192.0
0.092285214106,9216.0
0.093151614106,10240.0
0.094018014106,11264.0
0.094884414106,12288.0
0.095750814106,13312.0
0.096623614234,13312.0
0.096623614234,12288.0
0.104078032634,12288.0
0.109282832762,12288.0
0.11587725129,12288.0
0.11847645129,12288.0
0.125077269946,12288.0
0.126803669818,12288.0
0.128523669562,10240.0
0.129390069562,10240.0
0.130256469562,10240.0
0.131122869562,10240.0
0.131989269562,11264.0
0.132855669562,11264.0
0.13372846969,11264.0
0.13372846969,10240.0
0.136863688346,10240.0
0.144728299903,7168.0
0.145594699903,7168.0
0.146910906618,7168.0
0.147852781277,7168.0
0.148794655936,7168.0
0.149736530595,7168.0
0.152090106234,8192.0
0.153031980893,8192.0
0.153973855552,8192.0
0.154915730211,8192.0
0.158766399549,8192.0
0.16010842582,8192.0
0.161446389283,8192.0
0.163003724506,8192.0
0.164168610185,8192.0
0.165331114321,8192.0
0.166478513774,8192.0
0.167612696628,8192.0
0.169680017821,8192.0
0.171022044092,8192.0
0.172360007555,8192.0
0.173917342778,8192.0
0.175082228457,8192.0
0.176244732593,8192.0
0.177392132046,8192.0
0.178533390284,8192.0
0.180593636093,8192.0
0.181935662364,8192.0
0.183273625827,8192.0
0.18483096105,8192.0
0.185995846729,8192.0
0.187158350865,8192.0
0.188305750318,8192.0
0.189447008556,8192.0
0.191507254365,8192.0
0.192849280636,8192.0
0.194187244099,8192.0
0.195744579322,8192.0
0.196909465001,8192.0
0.198071969137,8192.0
0.19921936859,8192.0
0.200360626828,8192.0
0.202420872637,8192.0
0.203762898908,8192.0
0.205100862371,8192.0
0.206658197594,8192.0
0.207823083273,8192.0
0.208985587409,8192.0
0.210132986862,8192.0
0.2112742451,8192.0
0.213334490909,8192.0
0.21467651718,8192.0
0.216014480643,8192.0
0.217571815866,8192.0
0.218736701545,8192.0
0.219899205681,8192.0
0.221046605134,8192.0
0.222187863372,8192.0
0.224248109181,8192.0
0.225590135452,8192.0
0.226928098915,8192.0
0.228485434138,8192.0
0.229650319817,8192.0
0.230812823953,8192.0
0.231960223406,8192.0
0.233101481644,8192.0
0.235161727453,8192.0
0.236503753724,8192.0
0.237841717187,8192.0
0.23939905241,8192.0
0.240563938089,8192.0
0.241726442225,8192.0
0.242873841678,8192.0
0.244015099916,8192.0
0.246075345725,8192.0
0.247417371996,8192.0
0.248755335459,8192.0
0.250312670682,8192.0
0.251477556361,8192.0
0.252640060497,8192.0
0.25378745995,8192.0
0.254928718188,8192.0
0.256988963997,8192.0
0.258330990268,8192.0
0.259668953731,8192.0
0.261226288954,8192.0
0.262391174633,8192.0
0.263553678769,8192.0
0.264701078222,8192.0
0.265844281027,8192.0
0.267902582269,8192.0
0.26924460854,8192.0
0.270582572003,8192.0
0.272139907226,8192.0
0.273304792905,8192.0
0.274467297041,8192.0
0.275614696494,8192.0
0.276757899299,8192.0
0.278816200541,8192.0
0.280158226812,8192.0
0.281496190275,8192.0
0.283053525498,8192.0
0.284218411177,8192.0
0.285380915313,8192.0
0.286528314766,8192.0
0.287671517571,8192.0
0.289729818813,8192.0
0.291071845084,8192.0
0.292409808547,8192.0
0.29396714377,8192.0
0.295132029449,8192.0
0.296294533585,8192.0
0.297441933038,8192.0
0.298586366002,8192.0
0.300643437085,8192.0
0.301985463356,8192.0
0.303323426819,8192.0
0.304880762042,8192.0
0.306045647721,8192.0
0.307208151857,8192.0
0.30835555131,8192.0
0.309499984274,8192.0
0.311557055357,8192.0
0.312899081628,8192.0
0.314237045091,8192.0
0.315794380314,8192.0
0.316959265993,8192.0
0.318121770129,8192.0
0.319269169582,8192.0
0.320413602546,8192.0
0.322470673629,8192.0
0.3238126999,8192.0
0.325150663363,8192.0
0.326707998586,8192.0
0.327872884265,8192.0
0.329035388401,8192.0
0.330182787854,8192.0
0.331327220818,8192.0
0.333384291901,8192.0
0.334726318172,8192.0
0.336064281635,8192.0
0.337621616858,8192.0
0.338786502537,8192.0
0.339949006673,8192.0
0.341096406126,8192.0
0.34224083909,8192.0
0.344297910173,8192.0
0.345639936444,8192.0
0.346977899907,8192.0
0.34853523513,8192.0
0.349700120809,8192.0
0.350862624945,8192.0
0.352010024398,8192.0
0.353154457362,8192.0
0.355211528445,8192.0
0.356553554716,8192.0
0.357891518179,8192.0
0.359448853402,8192.0
0.360613739081,8192.0
0.361776243217,8192.0
0.36292364267,8192.0
0.364068075634,8192.0
0.366125146717,8192.0
0.367467172988,8192.0
0.368805136451,8192.0
0.370362471674,8192.0
0.371527357353,8192.0
0.372689861489,8192.0
0.373837260942,8192.0
0.374981693906,8192.0
0.377038764989,8192.0
0.37838079126,8192.0
0.379718754723,8192.0
0.381276089946,8192.0
0.382440975625,8192.0
0.383603479761,8192.0
0.384750879214,8192.0
0.385895312178,8192.0
0.387952383261,8192.0
0.389294409532,8192.0
0.390632372995,8192.0
0.392189708218,8192.0
0.393354593897,8192.0
0.394517098033,8192.0
0.395664497486,8192.0
0.39680893045,8192.0
0.398866001533,8192.0
0.400208027804,8192.0
0.401545991267,8192.0
0.40310332649,8192.0
0.404268212169,8192.0
0.405430716305,8192.0
0.406578115758,8192.0
0.407722548722,8192.0
0.409779619805,8192.0
0.411121646076,8192.0
0.412459609539,8192.0
0.414016944762,9216.0
0.415181830441,9216.0
0.416344334577,9216.0
0.41749173403,9216.0
0.418636166994,9216.0
0.420693238077,9216.0
0.422035264348,9216.0
0.423373227811,9216.0
0.424930563034,9216.0
0.4259477817,9216.0
0.426965000366,9216.0
0.427982381513,9216.0
0.428999904832,9216.0
0.430017552551,9216.0
0.431606856349,9216.0
0.43294888262,9216.0
0.434286846083,9216.0
0.435844181306,9216.0
0.436861399972,9216.0
0.437878618638,9216.0
0.438895999785,9216.0
0.439913523104,9216.0
0.440931170823,9216.0
0.442520474621,9216.0
0.443862500892,9216.0
0.445200464355,9216.0
0.446757799578,9216.0
