time,queueLength
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.038476347066,0.0
0.04858354921,0.0
0.04858354921,1.0
0.048583549682,0.0
0.05954435929,0.0
0.05988810929,0.0
0.070457977562,0.0
0.070887665062,0.0
0.071324377562,0.0
0.071793859984,0.0
0.081371595834,0.0
0.081837733529,0.0
0.082303871224,0.0
0.082768763293,0.0
0.083233655362,0.0
0.083689467271,0.0
0.08414527918,0.0
0.084588010173,0.0
0.092285214106,0.0
0.092705949323,0.0
0.093151614106,0.0
0.093557943089,0.0
0.094018014106,0.0
0.094409412161,0.0
0.094884414106,0.0
0.095260847963,0.0
0.095750814106,0.0
0.096112549144,0.0
0.096623614234,0.0
0.103211632634,0.0
0.104078032634,0.0
0.104944432634,0.0
0.105597565341,0.0
0.106250698048,0.0
0.106903830755,0.0
0.107556963462,0.0
0.108416432762,0.0
0.109282832762,0.0
0.11414445129,0.0
0.114828789631,0.0
0.115513127972,0.0
0.116197466313,0.0
0.116891748473,0.0
0.117586030633,0.0
0.118280312793,0.0
0.118974594953,0.0
0.119668877113,0.0
0.120363159273,0.0
0.121057441433,0.0
0.121751723593,0.0
0.125077269946,0.0
0.125937269818,0.0
0.126803669818,0.0
0.12766366969,0.0
0.130256469562,0.0
0.131157800443,0.0
0.132081881631,0.0
0.132930582576,0.0
0.13372846969,0.0
0.133786832266,0.0
0.135997288346,0.0
0.136939163005,0.0
0.137881037664,0.0
0.138822912323,0.0
0.141176487962,0.0
0.142118362621,0.0
0.14306023728,0.0
0.144002111939,0.0
0.147852781277,0.0
0.149194807548,0.0
0.150532771011,0.0
0.152090106234,0.0
0.153254991913,0.0
0.154417496049,0.0
0.155564895502,0.0
0.156699078356,0.0
0.158766399549,0.0
0.16010842582,0.0
0.161446389283,0.0
0.163003724506,0.0
0.164168610185,0.0
0.165331114321,0.0
0.166478513774,0.0
0.167619772012,0.0
0.169680017821,0.0
0.171022044092,0.0
0.172360007555,0.0
0.173917342778,0.0
0.175082228457,0.0
0.176244732593,0.0
0.177392132046,0.0
0.178533390284,0.0
0.180593636093,0.0
0.181935662364,0.0
0.183273625827,0.0
0.18483096105,0.0
0.185995846729,0.0
0.187158350865,0.0
0.188305750318,0.0
0.189447008556,0.0
0.191507254365,0.0
0.192849280636,0.0
0.194187244099,0.0
0.195744579322,0.0
0.196909465001,0.0
0.198071969137,0.0
