time,incomingDataRate
0.1,2247040.0
0.2,6714240.0
0.3,6283840.0
0.4,6283840.0
0.5,7058560.0
0.6,7058560.0
0.7,7144640.0
0.8,7058560.0
0.9,7144640.0
1.0,7058560.0
1.1,7058560.0
1.2,7144640.0
1.3,7058560.0
1.4,7144640.0
1.5,7144640.0
1.6,7833280.0
1.7,7833280.0
1.8,7833280.0
1.9,7919360.0
2.0,7919360.0
2.1,7919360.0
2.2,7919360.0
2.3,7833280.0
2.4,7833280.0
2.5,7919360.0
2.6,7919360.0
2.699699154524,8720314.6721842
2.798788118972,8687142.9608262
2.89787708342,8687142.9608262
2.996966047868,8687142.9608262
3.096055012316,8687142.9608262
3.195432268899,8661941.6715439
3.29521216857,8626988.0290347
3.39445296415,8673852.2698167
3.493693795653,8673849.1300728
3.592832898444,8682749.5485277
3.691972017276,8682748.1436334
3.782746563452,9482834.5198336
3.873633936986,9471062.5527977
3.964812474076,9440818.2832581
4.055587020252,9482834.5198336
4.146474393786,9471062.5527977
4.234202439516,9812141.5202759
4.320842439516,9935364.7276085
4.406616039516,10035721.947079
4.493256039516,9935364.7276085
4.582786841601,9614568.1704355
4.67359949235,9478855.5658307
4.763884810416,9534219.0562007
4.850664456798,9919376.6728525
4.937304456798,9935364.7276085
5.023944456798,9935364.7276085
5.109718056798,10035721.947079
5.196358056798,9935364.7276085
5.282998056798,9935364.7276085
5.369638056798,9935364.7276085
5.460995180661,9422363.1787146
5.56009640048,8686068.663657
5.659191955045,8686565.2427968
5.753712186686,9107044.9686309
5.844486732862,9482834.5198336
5.93577809731,9429150.3386426
6.026552643486,9482834.5198336
6.117327189662,9482834.5198336
6.20861855411,9429150.3386426
6.299393100286,9482834.5198336
6.390167646462,9482834.5198336
6.48145901091,9429150.3386426
6.572233557086,9482834.5198336
6.663008103262,9482834.5198336
6.75429946771,9429150.3386426
6.842140340798,9799538.2985053
6.928780340798,9935364.7276085
7.015420340798,9935364.7276085
7.102060340798,9935364.7276085
7.188700340798,9935364.7276085
7.275340340798,9935364.7276085
7.361980340798,9935364.7276085
7.448620340798,9935364.7276085
7.535260340798,9935364.7276085
7.621900340798,9935364.7276085
7.708540340798,9935364.7276085
7.795180340798,9935364.7276085
7.881820340798,9935364.7276085
7.967593940798,10035721.947079
8.054233940798,9935364.7276085
8.140873940798,9935364.7276085
8.227513940798,9935364.7276085
8.314153940798,9935364.7276085
8.400793940798,9935364.7276085
8.487433940798,9935364.7276085
8.574073940798,9935364.7276085
8.660713940798,9935364.7276085
8.747353940798,9935364.7276085
8.833993940798,9935364.7276085
8.920633940798,9935364.7276085
9.007273940798,9935364.7276085
9.093913940798,9935364.7276085
9.183494446071,9609233.5868912
9.274316562182,9477867.6919172
9.364519887966,9542885.3927322
9.451365955226,9911790.2186973
9.538005955226,9935364.7276085
9.624645955226,9935364.7276085
9.710419555226,10035721.947079
9.797059555226,9935364.7276085
9.883699555226,9935364.7276085
9.970339555226,9935364.7276085
10.061657983644,9426355.8288562
10.16195097449,8582853.0263073
10.261083797179,8683299.6040121
10.354413685114,9223197.6170325
10.445705049562,9429150.3386426
10.536479595738,9482834.5198336
10.627254141914,9482834.5198336
10.718545506362,9429150.3386426
10.809320052538,9482834.5198336
10.900094598714,9482834.5198336
10.991385963162,9429150.3386426
11.082160509338,9482834.5198336
11.172935055514,9482834.5198336
11.264226419962,9429150.3386426
11.355000966138,9482834.5198336
11.442841839226,9799538.2985053
11.529481839226,9935364.7276085
11.616121839226,9935364.7276085
11.702761839226,9935364.7276085
11.789401839226,9935364.7276085
11.876041839226,9935364.7276085
11.962681839226,9935364.7276085
12.049321839226,9935364.7276085
12.135961839226,9935364.7276085
12.222601839226,9935364.7276085
12.309241839226,9935364.7276085
12.395881839226,9935364.7276085
12.482521839226,9935364.7276085
12.568295439226,10035721.947079
12.654935439226,9935364.7276085
12.741575439226,9935364.7276085
12.828215439226,9935364.7276085
12.914855439226,9935364.7276085
13.001495439226,9935364.7276085
13.088135439226,9935364.7276085
13.174775439226,9935364.7276085
13.261415439226,9935364.7276085
13.348055439226,9935364.7276085
13.434695439226,9935364.7276085
13.521335439226,9935364.7276085
13.607975439226,9935364.7276085
13.694615439226,9935364.7276085
13.784174487913,9611535.7701979
13.874974571789,9480167.4542013
13.965303479413,9529618.1769754
14.052021445771,9926432.043463
14.138661445771,9935364.7276085
14.225301445771,9935364.7276085
14.311075045771,10035721.947079
14.397715045771,9935364.7276085
14.484355045771,9935364.7276085
14.570995045771,9935364.7276085
14.663566626643,9298750.1335884
14.762694443056,8683738.1387845
14.86181326964,8684525.7320566
14.955069175659,9230514.5780753
15.046360540107,9429150.3386426
15.137135086283,9482834.5198336
