time,outgoingDataRate
0.1,59520.0
0.2,360640.0
0.3,303680.0
0.4,303680.0
0.5,336960.0
0.6,341120.0
0.7,345280.0
0.8,341120.0
0.9,345280.0
1.0,341120.0
1.1,341120.0
1.2,345280.0
1.3,341120.0
1.4,345280.0
1.5,345280.0
1.6,374400.0
1.7,378560.0
1.8,378560.0
1.9,382720.0
2.0,382720.0
2.1,382720.0
2.2,382720.0
2.3,378560.0
2.4,378560.0
2.5,382720.0
2.6,382720.0
2.700565554052,417797.13139426
2.7996545185,419824.75275368
2.898743482948,419824.75275368
2.997832447396,419824.75275368
3.097209703979,418606.84658019
3.19698960365,416917.6370909
3.29623039923,419182.45170118
3.395471230733,419182.29996634
3.494610333524,419612.43171324
3.593749452356,419612.36381871
3.692838416804,419824.75275368
3.78447936298,453945.55311668
3.875670434701,456185.0103843
3.966545273604,457772.47588195
4.05731981978,458278.2481704
4.148510891501,456185.0103843
4.236801639044,471170.54909677
4.323441639044,480147.73776547
4.410081639044,480147.73776547
4.496721639044,480147.73776547
4.585422736065,479092.15812674
4.676198691878,458271.13168267
4.767426203367,456002.79258978
4.854130056326,479794.13348184
4.940770056326,480147.73776547
5.027410056326,480147.73776547
5.114050056326,480147.73776547
5.200690056326,480147.73776547
5.287330056326,480147.73776547
5.373970056326,480147.73776547
5.464759711142,468070.95022142
5.563902294149,419597.70199918
5.663034041503,419643.56636877
5.757177786214,441877.47287621
5.848469150662,455683.84536191
5.939243696838,458278.2481704
6.030018243014,458278.2481704
6.121309607462,455683.84536191
6.212084153638,458278.2481704
6.302858699814,458278.2481704
6.394150064262,455683.84536191
6.484924610438,458278.2481704
6.575699156614,458278.2481704
6.666990521062,455683.84536191
6.757765067238,458278.2481704
6.846472340326,468958.16489288
6.933112340326,480147.73776547
7.019752340326,480147.73776547
7.106392340326,480147.73776547
7.193032340326,480147.73776547
7.279672340326,480147.73776547
7.366312340326,480147.73776547
7.452952340326,480147.73776547
7.539592340326,480147.73776547
7.626232340326,480147.73776547
7.712872340326,480147.73776547
7.799512340326,480147.73776547
7.886152340326,480147.73776547
7.972792340326,480147.73776547
8.059432340326,480147.73776547
8.146072340326,480147.73776547
8.232712340326,480147.73776547
8.319352340326,480147.73776547
8.405992340326,480147.73776547
8.492632340326,480147.73776547
8.579272340326,480147.73776547
8.665912340326,480147.73776547
8.752552340326,480147.73776547
8.839192340326,480147.73776547
8.925832340326,480147.73776547
9.012472340326,480147.73776547
9.099112340326,480147.73776547
9.187883507179,478713.99584474
9.279035304033,456381.56828254
9.36990538805,457796.42937512
9.456564354754,480042.64973632
9.543204354754,480147.73776547
9.629844354754,480147.73776547
9.716484354754,480147.73776547
9.803124354754,480147.73776547
9.889764354754,480147.73776547
9.976404354754,480147.73776547
10.067316406416,467440.77625698
10.166417396166,419773.80957489
10.26551274942,419797.68610715
10.360128902914,439671.22382161
10.45090344909,458278.2481704
10.541677995266,458278.2481704
10.632969359714,455683.84536191
10.72374390589,458278.2481704
10.814518452066,458278.2481704
10.905809816514,455683.84536191
10.99658436269,458278.2481704
11.087358908866,458278.2481704
11.178650273314,455683.84536191
11.26942481949,458278.2481704
11.360199365666,458278.2481704
11.448906638754,468958.16489288
11.535546638754,480147.73776547
11.622186638754,480147.73776547
11.708826638754,480147.73776547
11.795466638754,480147.73776547
11.882106638754,480147.73776547
11.968746638754,480147.73776547
12.055386638754,480147.73776547
12.142026638754,480147.73776547
12.228666638754,480147.73776547
12.315306638754,480147.73776547
12.401946638754,480147.73776547
12.488586638754,480147.73776547
12.575226638754,480147.73776547
12.661866638754,480147.73776547
12.748506638754,480147.73776547
12.835146638754,480147.73776547
12.921786638754,480147.73776547
13.008426638754,480147.73776547
13.095066638754,480147.73776547
13.181706638754,480147.73776547
13.268346638754,480147.73776547
13.354986638754,480147.73776547
13.441626638754,480147.73776547
13.528266638754,480147.73776547
13.614906638754,480147.73776547
13.701546638754,480147.73776547
13.790685586589,476738.85582161
13.881528239466,457934.66705916
13.972312645299,458228.47677743
14.058952645299,480147.73776547
14.145592645299,480147.73776547
14.232232645299,480147.73776547
14.318872645299,480147.73776547
14.405512645299,480147.73776547
14.492152645299,480147.73776547
14.578792645299,480147.73776547
14.669792132942,466991.6402905
14.768889867069,419787.6002562
14.867982371653,419809.75427598
14.962517193459,440049.4886992
15.053291739635,458278.2481704
15.144583104083,455683.84536191
15.235357650259,458278.2481704
15.326132196435,458278.2481704
15.417423560883,455683.84536191
15.508198107059,458278.2481704
15.598972653235,458278.2481704
15.690264017683,455683.84536191
15.781038563859,458278.2481704
15.871813110035,458278.2481704
15.963104474483,455683.84536191
16.051294929299,471706.37782506
16.137934929299,480147.73776547
16.224574929299,480147.73776547
16.311214929299,480147.73776547
16.397854929299,480147.73776547
16.484494929299,480147.73776547
16.571134929299,480147.73776547
16.657774929299,480147.73776547
16.744414929299,480147.73776547
16.831054929299,480147.73776547
16.917694929299,480147.73776547
17.004334929299,480147.73776547
17.090974929299,480147.73776547
17.177614929299,480147.73776547
17.264254929299,480147.73776547
17.350894929299,480147.73776547
17.437534929299,480147.73776547
17.524174929299,480147.73776547
17.610814929299,480147.73776547
17.697454929299,480147.73776547
17.784094929299,480147.73776547
17.870734929299,480147.73776547
17.957374929299,480147.73776547
18.044014929299,480147.73776547
18.130654929299,480147.73776547
18.217294929299,480147.73776547
18.303934929299,480147.73776547
18.39317541104,476196.44326142
18.484002764303,458011.80487494
18.5747397876,458467.76198328
18.6613797876,480147.73776547
18.7480197876,480147.73776547
18.8346597876,480147.73776547
18.9212997876,480147.73776547
19.0079397876,480147.73776547
19.0945797876,480147.73776547
19.1812197876,480147.73776547
19.2678597876,490489.38134811
19.36715690686,418944.68147736
19.467420934768,414904.53623279
19.563393880944,433455.48571273
19.654685245392,455683.84536191
19.745459791568,458278.2481704
19.836234337744,458278.2481704
19.927525702192,455683.84536191
20.018300248368,458278.2481704
20.109074794544,458278.2481704
20.200366158992,455683.84536191
20.291140705168,458278.2481704
20.381915251344,458278.2481704
20.473206615792,455683.84536191
20.563981161968,458278.2481704
20.6537220716,463556.70084679
20.7403620716,480147.73776547
20.8270020716,480147.73776547
20.9136420716,480147.73776547
21.0002820716,480147.73776547
21.0869220716,480147.73776547
21.1735620716,480147.73776547
21.2602020716,480147.73776547
21.3468420716,480147.73776547
21.4334820716,480147.73776547
21.5201220716,480147.73776547
21.6067620716,480147.73776547
21.6934020716,480147.73776547
21.7800420716,480147.73776547
21.8666820716,480147.73776547
21.9533220716,480147.73776547
22.0399620716,480147.73776547
22.1266020716,480147.73776547
22.2132420716,480147.73776547
22.2998820716,480147.73776547
22.3865220716,480147.73776547
22.4731620716,480147.73776547
22.5598020716,480147.73776547
22.6464420716,480147.73776547
22.7330820716,480147.73776547
22.8197220716,480147.73776547
22.9063620716,480147.73776547
22.9930020716,490489.38134811
23.085252406286,450946.87343517
23.176123852277,457789.56795868
23.263807437999,474433.15253886
23.350447437999,480147.73776547
23.437087437999,480147.73776547
23.523727437999,480147.73776547
23.610367437999,480147.73776547
23.697007437999,480147.73776547
23.783647437999,480147.73776547
23.871767057736,482253.55632302
23.970889323893,419683.70592042
24.070003294003,419718.83432609
24.166338349615,431826.18970553
24.257112895791,458278.2481704
24.347887441967,458278.2481704
24.439178806415,455683.84536191
24.529953352591,458278.2481704
24.620727898767,458278.2481704
24.712019263215,455683.84536191
24.802793809391,458278.2481704
24.893568355567,458278.2481704
24.984859720015,455683.84536191
25.075634266191,458278.2481704
25.166408812367,458278.2481704
25.256149721999,463556.70084679
25.342789721999,480147.73776547
25.429429721999,480147.73776547
25.516069721999,480147.73776547
25.602709721999,480147.73776547
25.689349721999,480147.73776547
25.775989721999,480147.73776547
25.862629721999,480147.73776547
25.949269721999,480147.73776547
26.035909721999,480147.73776547
26.122549721999,480147.73776547
26.209189721999,480147.73776547
26.295829721999,480147.73776547
26.382469721999,480147.73776547
26.469109721999,480147.73776547
26.555749721999,480147.73776547
26.642389721999,480147.73776547
26.729029721999,480147.73776547
26.815669721999,480147.73776547
26.902309721999,480147.73776547
26.988949721999,480147.73776547
27.075589721999,480147.73776547
27.162229721999,480147.73776547
27.248869721999,480147.73776547
27.335509721999,480147.73776547
27.422149721999,480147.73776547
27.508789721999,480147.73776547
27.59690450295,482280.03907349
27.68777458692,457796.4296119
27.778593162822,458056.0704331
27.866241736328,474622.67023835
27.952881736328,480147.73776547
28.039521736328,480147.73776547
28.126161736328,480147.73776547
28.212801736328,480147.73776547
28.299441736328,480147.73776547
28.386081736328,480147.73776547
28.474247047088,482003.63196905
28.573347068534,419777.911175
28.672451044219,419761.16207714
28.768772647944,431886.49681092
28.85954719412,458278.2481704
28.950838558568,455683.84536191
29.041613104744,458278.2481704
29.13238765092,458278.2481704
29.223679015368,455683.84536191
29.314453561544,458278.2481704
29.40522810772,458278.2481704
29.496519472168,455683.84536191
29.587294018344,458278.2481704
29.67806856452,458278.2481704
29.769359928968,455683.84536191
29.858584020328,466241.78925121
29.945224020328,480147.73776547
30.031864020328,480147.73776547
30.118504020328,480147.73776547
30.205144020328,480147.73776547
30.291784020328,480147.73776547
30.378424020328,480147.73776547
30.465064020328,480147.73776547
30.551704020328,480147.73776547
30.638344020328,480147.73776547
30.724984020328,480147.73776547
30.811624020328,480147.73776547
30.898264020328,480147.73776547
30.984904020328,480147.73776547
31.071544020328,480147.73776547
31.158184020328,480147.73776547
31.244824020328,480147.73776547
31.331464020328,480147.73776547
31.418104020328,480147.73776547
31.504744020328,480147.73776547
31.591384020328,480147.73776547
31.678024020328,480147.73776547
31.764664020328,480147.73776547
31.851304020328,480147.73776547
31.937944020328,480147.73776547
32.024584020328,480147.73776547
32.111224020328,480147.73776547
32.199434339157,481757.6964253
32.290252915086,458056.07029692
32.38140471194,456381.56828254
32.468676034757,476674.33765421
32.555316034757,480147.73776547
32.641956034757,480147.73776547
32.728596034757,480147.73776547
32.815236034757,480147.73776547
32.901876034757,480147.73776547
32.988516034757,480147.73776547
33.076719205785,481796.73706413
33.177011435749,414787.86556977
33.276144387502,419638.46798036
33.371206946373,437606.56660264
33.462498310821,455683.84536191
33.553272856997,458278.2481704
33.644047403173,458278.2481704
33.735338767621,455683.84536191
