time,queueLength
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.043529948138,0.0
0.054497158346,0.0
0.065410776618,0.0
0.066277176618,0.0
0.07632439489,0.0
0.07719079489,0.0
0.07805719489,0.0
0.07892359489,0.0
0.087238013162,0.0
0.088104413162,0.0
0.088970813162,0.0
0.089837213162,0.0
0.090703613162,0.0
0.091570013162,0.0
0.098151631434,0.0
0.099018031434,0.0
0.099884431434,0.0
0.100750831434,0.0
0.101617231434,0.0
0.102483631434,0.0
0.103350031434,0.0
0.104216431434,0.0
0.109078049962,0.0
0.109944449962,0.0
0.110810849962,0.0
0.111677249962,0.0
0.112543649962,0.0
0.113410049962,0.0
0.114276449962,0.0
0.115142849962,0.0
0.116009249962,0.0
0.120010868618,0.0
0.120877268618,0.0
0.121743668618,0.0
0.122610068618,0.0
0.123476468618,0.0
0.124342868618,0.0
0.125209268618,0.0
0.126075668618,0.0
0.126942068618,0.0
0.127808468618,0.0
0.128674868618,0.0
0.130943687274,0.0
0.131810087274,0.0
0.132676487274,0.0
0.133542887274,0.0
0.13612288689,0.0
0.137024217771,0.0
0.137948298959,0.0
0.138814698959,0.0
0.139681098959,0.0
0.140547498959,0.0
0.141863705674,0.0
0.142805580333,0.0
0.143747454992,0.0
0.144689329651,0.0
0.14704290529,0.0
0.147984779949,0.0
0.148926654608,0.0
0.149868529267,0.0
0.153719198605,0.0
0.155061224876,0.0
0.156399188339,0.0
0.157956523562,0.0
0.159121409241,0.0
0.160283913377,0.0
0.16143131283,0.0
0.162565495684,0.0
0.164632816877,0.0
0.165974843148,0.0
0.167312806611,0.0
0.168870141834,0.0
0.170035027513,0.0
0.171197531649,0.0
0.172344931102,0.0
0.17348618934,0.0
0.175546435149,0.0
0.17688846142,0.0
0.178226424883,0.0
0.179783760106,0.0
0.180948645785,0.0
0.182111149921,0.0
0.183258549374,0.0
0.184399807612,0.0
0.186460053421,0.0
0.187802079692,0.0
0.189140043155,0.0
0.190697378378,0.0
0.191862264057,0.0
0.193024768193,0.0
0.194172167646,0.0
0.195313425884,0.0
0.197373671693,0.0
0.198715697964,0.0
0.200053661427,0.0
0.20161099665,0.0
0.202775882329,0.0
0.203938386465,0.0
0.205085785918,0.0
0.206227044156,0.0
0.208287289965,0.0
0.209629316236,0.0
0.210967279699,0.0
0.212524614922,0.0
0.213689500601,0.0
0.214852004737,0.0
