time,incomingDataRate
0.1,75840.0
0.2,356800.0
0.3,307840.0
0.4,303680.0
0.5,336960.0
0.6,345280.0
0.7,341120.0
0.8,341120.0
0.9,341120.0
1.0,345280.0
1.1,345280.0
1.2,345280.0
1.3,341120.0
1.4,341120.0
1.5,341120.0
1.6,378560.0
1.7,382720.0
1.8,382720.0
1.9,382720.0
2.0,378560.0
2.1,378560.0
2.2,382720.0
2.3,382720.0
2.4,378560.0
2.5,382720.0
2.6,382720.0
2.700829580938,416703.11042784
2.800070376518,419182.45170118
2.899311208021,419182.29996634
2.998450310812,419612.43171324
3.097589429644,419612.36381871
3.196678394092,419824.75275368
3.29576735854,419824.75275368
3.394856322988,419824.75275368
3.493945287436,419824.75275368
3.593034251884,419824.75275368
3.692411508467,418606.84658019
3.784230826396,453063.70095417
3.875055526956,458025.18195497
3.965830073132,458278.2481704
4.057071283196,455934.33023105
4.147895983756,458025.18195497
4.236086438572,471706.37782506
4.322726438572,480147.73776547
4.409366438572,480147.73776547
4.496006438572,480147.73776547
4.585063293388,477178.31589495
4.675962205105,457651.24371913
4.766774855854,458085.95671301
4.853414855854,480147.73776547
4.940054855854,480147.73776547
5.026694855854,480147.73776547
5.113334855854,480147.73776547
5.199974855854,480147.73776547
5.286614855854,480147.73776547
5.373254855854,480147.73776547
5.464216966127,467183.53248906
5.563317325535,419776.47960621
5.662421596937,419759.9095528
5.756979404014,439942.52072835
5.84775395019,458278.2481704
5.938528496366,458278.2481704
6.029819860814,455683.84536191
6.12059440699,458278.2481704
6.211368953166,458278.2481704
6.302660317614,455683.84536191
6.39343486379,458278.2481704
6.484209409966,458278.2481704
6.575500774414,455683.84536191
6.66627532059,458278.2481704
6.757049866766,458278.2481704
6.845757139854,468958.16489288
6.932397139854,480147.73776547
7.019037139854,480147.73776547
7.105677139854,480147.73776547
7.192317139854,480147.73776547
7.278957139854,480147.73776547
7.365597139854,480147.73776547
7.452237139854,480147.73776547
7.538877139854,480147.73776547
7.625517139854,480147.73776547
7.712157139854,480147.73776547
7.798797139854,480147.73776547
7.885437139854,480147.73776547
7.972077139854,480147.73776547
8.058717139854,480147.73776547
8.145357139854,480147.73776547
8.231997139854,480147.73776547
8.318637139854,480147.73776547
8.405277139854,480147.73776547
8.491917139854,480147.73776547
8.578557139854,480147.73776547
8.665197139854,480147.73776547
8.751837139854,480147.73776547
8.838477139854,480147.73776547
8.925117139854,480147.73776547
9.011757139854,480147.73776547
9.098397139854,480147.73776547
9.187581302463,476497.15775558
9.278422910917,457939.93201987
9.369209154282,458219.20214002
9.455849154282,480147.73776547
9.542489154282,480147.73776547
9.629129154282,480147.73776547
9.715769154282,480147.73776547
9.802409154282,480147.73776547
9.889049154282,480147.73776547
9.975689154282,480147.73776547
10.066654345371,467167.70988171
10.16574696542,419809.26510399
10.266039956266,414784.71874347
10.359413702442,445521.37730008
10.450188248618,458278.2481704
10.541479613066,455683.84536191
10.632254159242,458278.2481704
10.723028705418,458278.2481704
10.814320069866,455683.84536191
10.905094616042,458278.2481704
10.995869162218,458278.2481704
